1,ADMIN
2,ADMINISTRATION
3,BD
4,BUSINESS DEVELOPMENT
5,CASH DESK
6,Cash Desk - DR
7,Cash Desk (DR)
8,CASHDESK
9,CASHDESK - DJ
10,CASHDESK - DR
11,CASINO GAMING
12,CUSTOMER EXPERIENCE & SERVICE
13,Deltin Select
14,ELECTRICIAN
15,ENGINEERING
16,F & B - ( DJ )
17,F & B - (PRODUCTION DR)
18,F & B - DJ
19,F & B - DR
20,F & B - KC
21,F & B - Production ( DR )
22,F & B - SERVICE
23,F & B - Service - KC
24,F & B - Service ( DC )
25,F & B - Service ( DJ )
26,F & B - Service ( DR )
27,F & B - Service ( KC )
28,F & B PROD
29,F & B Production
30,F & B Production - CK
31,F & B Production - DJ
32,F & B Production - DR
33,F & B SERVICE
34,F & B SERVICE ( DJ )
35,F & B SERVICE ( DR )
36,F & B SERVICE ( DS )
37,F & B SERVICE- ( KC )
38,F & B Service( DJ)
39,F and B - DJ
40,F and B - DR
41,F& B PROD CK
42,F&B Service
43,FO
44,FO - DJ
45,FO - DR
46,FO - KC
47,FRONT OFFICE
48,FRONT OFFICE - DR
49,FRONT OFFICE - KC
50,GAMING
51,Gaming 
52,Gaming - ( DC )
53,Gaming - ( DJ )
54,Gaming - ( DR )
55,Gaming - ( KC )
56,Gaming - ( KC)
57,GAMING - (DJ)
58,GAMING - DJ
59,GAMING - DR
60,GAMING - KC
61,GAMING (KC)
62,GAMING DJ
63,GAMING DR
64,GAMING KC
65,HOUSEKEEPING
66,HR
67,IT
68,KST-CK
69,MAANGPATTA VIP Services 
70,MAINTENANCE ( CK )
71,MANGPATTA
72,SECURITY
73,SPA
74,SURVEILLANCE
75,VIP SERVICE
76,VIP SERVICES
77,VIP Services 
78,VIP Services 
79,WECARE
